id,height,area,mz,rt,fermo:active,fermo:samples,fermo:samples:count,fermo:isblank,fermo:annotation:adducts,fermo:annotation:neutral_losses,fermo:annotation:fragments
21,30000,6400,913.5135,12.91,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,11,,,,
22,21000,3800,797.4668,13.15,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,11,,,,
23,33000,12000,312.2637,17.49,true,5444_5443_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5452_5451_mod.mzXML,4,,,,
30,6500,670,300.9452,1.97,true,5434_5433_mod.mzXML|5432_5431_mod2.mzXML,2,,,,
31,18000,3000,365.1047,2.08,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|D3_H3_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,9,,,,
32,7100,1200,381.0786,2.08,true,5458_5457_mod.mzXML|5434_5433_mod.mzXML|5432_5431_mod2.mzXML,3,,,,
33,6800,820,247.1271,2.63,true,5458_5457_mod.mzXML|5432_5431_mod2.mzXML,2,,,,
34,5400,1400,244.1161,3.72,true,5432_5431_mod2.mzXML,1,,[M+H]+(partner_ID=3;adduct=[M+3+H]+;m/z=247.1276),,
35,8900,1500,542.2548,5.14,true,5432_5431_mod2.mzXML,1,,,,
36,6500,910,244.1163,5.54,true,5458_5457_mod.mzXML|5432_5431_mod2.mzXML,2,,[M+H]+(partner_ID=4;adduct=[M+NH4]+;m/z=261.1439),,
37,9300,1400,244.1164,5.85,true,5434_5433_mod.mzXML|5458_5457_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,5,,[M+H]+(partner_ID=6;adduct=[M+NH4]+;m/z=261.1445),,
38,5700,670,396.1582,7.81,true,5432_5431_mod2.mzXML,1,,,,
39,8700,1300,1269.6091,8.21,true,5458_5457_mod.mzXML|5434_5433_mod.mzXML|5432_5431_mod2.mzXML,3,,,,
40,8100,1100,346.15,8.6,true,5432_5431_mod2.mzXML,1,,,,
41,12000,1900,1107.5554,8.85,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,9,,,,
42,6500,880,493.1202,10.75,true,5432_5431_mod2.mzXML,1,,,,
43,5600,840,277.0812,11.43,true,5432_5431_mod2.mzXML,1,,,,
44,9800,1700,274.2734,11.84,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,7,,,,
45,8300,1400,445.0614,13.09,true,5432_5431_mod2.mzXML,1,,,,
46,18000,3500,269.0801,13.35,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,7,,,,
47,9800,1700,941.5078,13.7,true,5434_5433_mod.mzXML|5458_5457_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,5,,,,
48,17000,3300,415.2096,15.95,true,5434_5433_mod.mzXML|5458_5457_mod.mzXML|D3_H3_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,6,,[M+H]+(partner_ID=131;adduct=[M+Na]+;m/z=437.1913),,
49,8400,1100,515.007,1.86,true,5425_5426_mod.mzXML|5456_5455_mod.mzXML|D3_H3_mod.mzXML|5452_5451_mod.mzXML,4,,,,
50,5500,1000,311.1229,4.18,true,5425_5426_mod.mzXML|5458_5457_mod.mzXML,2,,,,
51,7400,940,518.3179,5.72,true,5425_5426_mod.mzXML|5458_5457_mod.mzXML,2,,,,
52,12000,2000,499.3231,5.93,true,5425_5426_mod.mzXML,1,,,,
53,6900,880,303.1543,7.17,true,5425_5426_mod.mzXML,1,,,,
54,7500,1200,303.1543,7.39,true,5425_5426_mod.mzXML,1,,,,
55,6700,930,945.5032,9.34,true,5425_5426_mod.mzXML|5444_5443_mod.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,4,,,,
56,10000,1500,285.0753,10.36,true,5425_5426_mod.mzXML|5458_5457_mod.mzXML,2,,,,
57,38000,18000,496.3383,19.94,true,5425_5426_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5450_5449_mod.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,6,,,,
62,5500,640,530.9806,1.92,true,5456_5455_mod.mzXML|D3_H3_mod.mzXML|5434_5433_mod.mzXML|5452_5451_mod.mzXML,4,,,,
63,10000,1100,271.1397,2.34,true,5434_5433_mod.mzXML,1,,,,
64,10000,1200,254.1599,2.36,true,5434_5433_mod.mzXML|5446_5445_mod.mzXML|D3_H3_mod.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,5,,,,
65,12000,1900,423.1953,5.55,true,5434_5433_mod.mzXML|5458_5457_mod.mzXML,2,,,,
66,48000,10000,218.0798,6.15,true,5456_5455_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5452_5451_mod.mzXML,4,,,,
67,9000,1100,393.139,7.7,true,5456_5455_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5452_5451_mod.mzXML,4,,,,
68,17000,2700,626.3294,8.57,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML,2,,,,
69,7900,1100,578.3071,8.76,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML,2,,,,
